artists,title,date,accousticness,danceability,duration_ms,energy,instrumentalness,liveness,speechiness
Adele,Easy On Me,2021-11-06,0.578,0.604,224695,0.366,0.0,0.133,0.0282
Adele,Hello,2016-03-12,0.33,0.578,295502,0.43,0.0,0.0854,0.0305
Adele,Rolling in the Deep,2012-03-03,0.138,0.73,228093,0.769,0.0,0.0473,0.0298
Adele,Send My Love (To Your New Lover),2016-10-01,0.0355,0.688,223079,0.533,3.48e-06,0.172,0.0865
Adele,Set Fire to the Rain,2012-04-07,0.00408,0.603,242974,0.67,1.68e-06,0.112,0.0249
Adele,Skyfall,2012-10-20,0.417,0.346,286480,0.552,0.0,0.114,0.0282
Adele,Someone Like You,2012-03-03,0.893,0.556,285240,0.319,0.0,0.0996,0.0281
Adina Howard,Freak Like Me,1995-07-01,0.0262,0.655,253613,0.837,5.85e-06,0.0454,0.0723
Aerosmith,Angel,1988-05-14,0.304,0.239,308907,0.819,0.0,0.0855,0.0393
Aerosmith,Dream On,1976-04-10,0.397,0.392,267597,0.476,0.000163,0.309,0.0249
Aerosmith,"I Don't Want To Miss A Thing - From ""Armageddon"" Soundtrack",1998-11-07,0.172,0.39,299723,0.649,0.0,0.216,0.0345
Aerosmith,Jaded,2001-04-14,0.00413,0.518,215824,0.866,1.93e-05,0.246,0.0509
Aerosmith,Janie's Got A Gun,1990-02-17,0.0516,0.633,330533,0.823,0.000496,0.188,0.0287
Aerosmith,Love In An Elevator - Single Version,1989-11-04,0.00854,0.449,321827,0.961,0.00276,0.343,0.0701
Aerosmith,Walk This Way,1977-02-05,0.0115,0.653,220311,0.73,1.02e-05,0.0776,0.0429
Aerosmith,What It Takes,1990-05-19,0.0286,0.522,310533,0.738,5.8e-06,0.4,0.031
After 7,Ready Or Not,1990-06-30,0.0966,0.733,275827,0.566,0.0,0.074,0.039
After The Fire,Der Kommissar,1983-05-14,0.00909,0.694,337187,0.716,0.000814,0.0772,0.0513
Air Supply,All Out of Love,1980-10-25,0.313,0.513,243000,0.262,5.51e-06,0.456,0.0276
Air Supply,Even the Nights Are Better,1982-09-18,0.565,0.434,237107,0.507,0.0,0.161,0.0358
Air Supply,Every Woman in the World,1981-02-07,0.307,0.393,209600,0.312,0.0,0.134,0.0366
Air Supply,Here I Am (Just When I Thought I Was Over You),1981-12-12,0.534,0.344,230400,0.466,1.61e-05,0.569,0.0255
Air Supply,Lost In Love,1980-05-24,0.425,0.583,233867,0.316,5.67e-05,0.11,0.0315
Air Supply,Making Love Out of Nothing at All,1983-11-12,0.202,0.388,341747,0.72,0.000288,0.283,0.033
Air Supply,Sweet Dreams,1982-03-27,0.392,0.379,236787,0.466,1.52e-06,0.241,0.0308
Air Supply,The One That You Love,1981-08-08,0.728,0.396,259000,0.479,9.51e-06,0.102,0.0268
Akon,Locked Up,2004-10-30,0.0262,0.833,235067,0.568,0.0,0.11,0.0847
Akon,Lonely,2005-05-28,0.307,0.633,235067,0.529,0.0,0.342,0.0339
Akon,Right Now (Na Na Na),2008-12-06,0.267,0.832,240747,0.87,0.0,0.412,0.167
"Akon, Eminem",Smack That,2007-02-03,0.321,0.939,212360,0.742,0.0,0.107,0.0467
"Akon, Snoop Dogg",I Wanna Love You,2007-02-24,0.0373,0.866,247067,0.454,1.49e-06,0.275,0.0414
Al B. Sure!,Nite and Day,1988-07-16,0.029,0.655,238013,0.477,0.000221,0.0518,0.0421
Al Green,Call Me (Come Back Home),1973-04-14,0.596,0.683,184907,0.392,3.43e-06,0.227,0.0293
Al Green,Here I Am (Come and Take Me),1973-09-15,0.318,0.815,256693,0.388,8.39e-05,0.0673,0.0364
Al Green,I'm Still in Love with You,1972-09-16,0.158,0.712,191636,0.393,0.000588,0.0908,0.0287
Al Green,Let's Stay Together,1972-03-04,0.582,0.756,199396,0.401,0.011,0.0541,0.0526
